id,longitude,latitude
1,-87.91527,30.67491
2,-86.77432,33.52452
3,-86.00501,34.01689
4,-87.56216,33.19849
5,-86.58584,34.73272
6,-87.68304,30.27805
7,-86.80243,33.52068
8,-87.56592,33.21062
10,-87.65971,34.80413
11,-88.04305,30.69436
12,-86.80243,33.52068
14,-86.5859,34.72985
16,-85.83377,33.66017
18,-86.98663,34.60412
19,-87.54374,33.19997
20,-87.89828,30.51629
21,-86.60843,33.61963
23,-86.79406,33.51416
25,-86.81218,33.50759
26,-86.58405,34.73011
27,-88.05126,30.68474
28,-86.5932,34.72775
29,-86.58524,34.74647
30,-86.31216,34.33874
31,-86.74922,34.69329
32,-88.04305,30.69436
33,-85.37875,32.6494
35,-86.77402,34.6728
36,-86.5932,34.72775
37,-85.98664,34.57897
38,-88.04939,30.68796
39,-86.81638,33.24428
40,-87.66893,34.80167
41,-86.5932,34.72775
42,-87.27868,33.8308
44,-86.7914,33.51285
45,-87.28338,33.83236
46,-86.5932,34.72775
48,-149.89582,61.21974
49,-134.49188,58.35681
50,-149.88936,61.13853
52,-131.64668,55.34307
54,-134.40773,58.30178
55,-149.41271,61.57527
57,-149.84376,61.22255
58,-149.84785,60.49522
61,-134.40696,58.30131
62,-149.89485,61.21631
64,-149.15409,60.95784
67,-146.34936,61.12994
68,-135.45519,59.23576
70,-147.75982,64.84856
71,-149.89389,61.2165
72,-135.44649,58.11032
73,-131.64668,55.34307
75,-151.05611,60.48508
76,-149.87908,61.13849
77,-135.31887,59.45386
78,-152.40715,57.79008
79,-149.43955,61.58148
80,-149.84455,61.14712
81,-147.71668,64.83784
84,-149.82309,61.21998
85,-149.82309,61.21998
88,-147.62198,64.95709
90,-151.04723,60.49149
91,-149.89485,61.21631
93,-111.58607,33.43619
94,-110.99275,32.24674
98,-111.92447,33.49726
99,-114.32064,34.47707
101,-110.95966,32.21461
104,-111.91113,33.30535
105,-114.05174,35.18959
107,-110.82178,32.20161
109,-110.96763,32.22335
110,-110.30369,31.55454
111,-114.6244,32.72532
114,-114.3476,34.50754
118,-112.4703,34.53852
119,-110.96679,32.22634
120,-111.93193,33.49315
121,-110.96773,32.22762
123,-112.07735,33.44859
124,-111.85683,33.41483
125,-111.78902,33.35283
126,-110.97853,32.29974
127,-111.00545,32.25049
129,-112.97407,36.9941
131,-111.5233,35.21091
132,-111.80544,33.32098
133,-111.94465,33.40287
136,-111.9255,33.65843
138,-112.26387,33.50509
141,-112.18922,35.25003
142,-112.4686,34.54238
143,-110.92326,32.18436
145,-112.00282,33.48046
146,-111.9806,33.49469
152,-112.46952,34.54028
154,-111.89777,33.62165
156,-111.64858,35.19644
157,-111.9255,33.65843
160,-112.065,33.45727
162,-111.65245,35.19693
163,-114.34243,34.46897
164,-112.06609,33.56788
166,-111.78961,33.35086
167,-111.97583,33.49502
170,-109.91384,31.44272
171,-111.63439,33.24511
172,-111.83705,33.4152
176,-109.95618,34.14301
178,-112.41326,34.64953
179,-114.6182,32.72292
180,-110.96488,32.22402
181,-110.94518,32.22143
182,-112.23805,33.66877
183,-114.0615,35.19029
184,-111.84085,33.30671
186,-112.39701,33.45727
187,-111.84235,33.30324
188,-112.07735,33.44859
189,-111.83841,33.3352
190,-112.07735,33.44859
191,-111.89519,33.58286
192,-111.79299,34.86578
193,-110.85522,32.25059
194,-111.90418,33.42261
195,-111.98057,33.44753
196,-111.89924,33.50912
197,-112.07735,33.44859
198,-112.35781,33.63822
199,-112.06878,33.50951
200,-112.07735,33.44859
204,-110.94659,32.23568
205,-111.84248,33.30009
206,-111.96429,33.44579
208,-111.95143,33.42917
210,-110.07228,31.7136
212,-111.9255,33.65843
215,-112.07735,33.44859
217,-111.89924,33.50912
218,-111.21571,32.4447
219,-112.03011,33.51663
220,-94.13728,36.12971
221,-94.11784,36.31683
223,-94.20058,36.36407
224,-92.25367,34.73235
225,-90.52048,36.03164
228,-92.36665,34.75262
229,-94.16887,36.07717
233,-94.16088,36.0596
234,-92.26531,34.74754
235,-92.27269,34.75943
236,-94.15743,36.06258
238,-94.29848,35.31078
239,-94.16478,36.08791
241,-93.73924,36.40008
243,-94.11854,36.33202
244,-94.16524,36.06663
245,-94.15714,36.11719
246,-92.25901,34.74269
247,-92.26002,34.74285
248,-94.13279,36.35535
249,-92.27119,36.22455
250,-94.11472,36.3335
252,-94.16207,36.06619
253,-92.35997,36.33264
254,-92.26209,34.74211
255,-92.31847,34.73083
258,-93.46113,34.26407
259,-93.05579,34.50752
260,-92.26807,34.73979
262,-94.16026,36.06174
263,-92.2814,34.74344
264,-94.13076,36.25535
265,-117.12959,32.71481
267,-118.8024,34.15334
268,-119.90366,37.57015
269,-122.71677,38.43878
271,-122.39258,37.78245
272,-117.13743,32.89658
273,-122.83325,38.38451
276,-119.70886,36.72953
277,-122.41362,37.64426
278,-121.20733,38.80474
279,-119.70175,36.82517
280,-118.34402,34.07305
281,-120.67064,35.24673
283,-118.58853,34.2218
284,-121.09854,35.56667
285,-118.40487,33.87345
286,-117.08575,33.02391
287,-118.33786,33.84314
288,-117.27402,32.84083
291,-117.14853,33.4931
292,-122.23945,37.76834
293,-121.48118,38.57324
294,-121.89058,37.33619
295,-122.22819,37.77611
297,-117.13743,32.89658
299,-122.30628,37.78345
300,-117.87815,34.10365
301,-122.11802,37.88576
303,-117.11398,32.91678
304,-117.14147,32.70188
305,-121.7211,37.67839
307,-121.89461,36.59858
308,-120.84927,38.48087
309,-118.15805,33.78539
310,-117.25112,32.77197
312,-119.29359,34.28073
313,-117.91252,33.83282
314,-122.40111,37.76308
316,-118.23772,34.04627
317,-118.10037,34.00842
318,-122.0903,38.23658
319,-118.47211,34.22139
321,-117.82317,33.74198
326,-118.2357,34.04505
328,-121.4944,38.58157
329,-121.07896,38.89612
330,-117.12015,32.76359
333,-117.89609,33.79984
334,-117.37385,33.18959
336,-117.15873,32.88798
337,-118.11475,33.74642
338,-117.15708,32.88964
339,-117.91173,33.83475
340,-117.16974,32.72778
341,-120.64523,35.26155
342,-122.40904,37.74001
347,-117.22138,33.14879
348,-122.4461,37.77577
350,-122.40873,37.78641
351,-117.22763,33.14015
353,-117.21178,32.75808
354,-122.50298,37.7253
357,-118.18947,33.77015
359,-122.8713,38.61103
361,-122.71014,38.36497
362,-117.22624,33.18825
363,-117.29242,33.21393
364,-117.24103,33.20212
366,-118.14805,33.75955
370,-117.87049,33.75004
371,-116.91103,34.24256
372,-116.92304,34.23876
373,-121.37572,38.5215
374,-121.42633,38.68888
375,-121.54337,38.56609
376,-119.78471,36.30147
377,-121.86653,37.31531
380,-117.88632,33.9152
381,-117.8868,34.07299
382,-117.862,33.82749
383,-118.9668,37.63959
384,-119.45917,35.1411
385,-122.39699,37.78066
386,-117.96273,33.70381
388,-117.26682,33.21557
389,-122.43386,37.77157
391,-122.06006,38.25856
392,-121.77124,38.67804
393,-122.25349,37.51008
394,-118.43659,34.14891
396,-117.02043,32.77189
398,-118.23318,34.05077
399,-117.90801,33.86741
400,-117.92859,33.87004
401,-117.21802,33.14821
403,-117.13975,32.69822
404,-117.13975,32.69822
405,-117.85972,33.84957
406,-118.14561,34.65828
409,-116.87682,33.92568
410,-119.2907,36.33008
411,-117.0403,34.03396
412,-118.40487,33.87345
413,-119.96192,38.94679
414,-118.33363,34.15727
415,-118.52987,34.38122
416,-118.34816,33.91145
417,-122.41924,37.77928
418,-119.0376,34.21639
419,-117.71978,34.09668
420,-117.71978,34.09668
421,-118.39647,34.02112
422,-122.46192,37.70577
423,-121.37162,38.4088
424,-117.03142,32.74255
425,-118.24277,34.05368
426,-121.97468,37.22661
427,-117.68978,34.07751
428,-122.27136,37.80446
429,-117.57517,34.10332
430,-117.16277,32.71742
431,-118.44899,34.15087
432,-118.58266,34.38647
433,-121.98774,38.35658
434,-119.29517,34.34365
437,-121.40084,36.85359
438,-117.91173,33.83475
439,-117.96868,33.99307
441,-121.85417,37.33317
442,-118.30181,34.15964
444,-121.84683,39.83081
446,-122.12756,38.08086
447,-117.84188,33.85794
448,-117.87916,33.86231
449,-122.07687,37.67703
451,-118.3195,33.80365
452,-116.97178,32.81201
454,-122.83325,38.38451
455,-117.21465,32.905
456,-121.88235,37.3253
457,-121.93327,37.28707
458,-118.24625,34.19291
459,-122.12883,37.8349
460,-121.94788,37.77115
464,-118.32563,33.3435
465,-120.90219,35.44711
466,-117.68821,33.59488
467,-122.23442,40.17676
469,-122.4107,37.77716
470,-120.67099,35.26517
472,-118.14448,34.14765
473,-121.28741,37.95439
474,-117.85645,33.78849
475,-122.03997,38.24936
479,-117.08037,32.6415
483,-121.26076,38.58186
486,-117.82675,34.1066
487,-122.19142,37.7221
488,-120.98514,38.682
489,-123.01657,38.80532
490,-116.4017,33.8262
491,-120.43586,34.95313
492,-119.98621,38.92523
493,-118.33286,33.91653
496,-120.69125,35.62677
499,-117.17914,32.68736
500,-117.09438,32.75312
501,-121.76231,36.92392
502,-118.31312,33.845
503,-117.15441,32.83466
504,-116.97958,32.83212
505,-117.15441,32.83466
506,-121.91559,36.61744
507,-117.34025,33.68674
508,-118.15956,34.16744
510,-121.07694,38.9087
514,-122.27136,37.80446
515,-120.66874,35.48979
516,-117.85318,33.73533
517,-116.20634,35.84889
518,-117.19934,32.76435
521,-122.63919,38.23482
523,-121.40594,38.53949
524,-122.24454,37.49897
525,-117.08148,33.12168
530,-122.26989,37.80774
531,-117.16291,32.89035
533,-117.19282,33.1374
535,-122.28489,38.29866
536,-122.15608,37.72493
537,-118.07986,34.16059
538,-117.68644,34.0919
540,-118.01071,33.9061
541,-119.87599,34.43146
543,-118.2233,34.03639
544,-117.15622,32.88475
545,-118.3115,33.84172
546,-121.29318,38.89157
547,-120.61129,35.38972
548,-121.73112,38.54474
549,-122.27186,41.21137
550,-120.88265,37.50656
551,-118.18596,33.8782
553,-121.88247,38.03308
554,-118.24404,34.11473
557,-122.01365,36.96841
559,-121.82416,39.71429
560,-124.15245,40.57874
562,-121.81459,37.69895
564,-120.83452,38.69424
565,-118.4157,33.91771
566,-121.70822,37.18646
567,-117.17244,33.52688
568,-122.30302,37.90204
573,-117.12873,32.75572
574,-117.21758,34.06034
575,-117.09704,33.12463
576,-122.89183,41.45674
578,-117.85597,33.68561
579,-122.30971,37.78667
580,-121.26874,38.64182
581,-117.13028,32.75998
583,-117.25164,33.38273
585,-122.00998,39.40322
586,-121.98958,37.38689
587,-121.52141,39.46576
588,-121.57776,39.84089
589,-117.80673,34.10668
591,-122.404,37.72834
592,-122.30221,37.88157
594,-120.19317,39.32253
595,-120.20222,34.61069
596,-120.60596,35.12102
599,-122.39134,40.58205
600,-122.03007,37.37738
601,-118.60576,34.1668
602,-120.18834,34.62486
605,-118.14448,34.14765
607,-118.80172,34.15291
608,-121.29526,38.13697
610,-121.35677,38.37685
611,-122.72661,38.449
612,-122.41023,37.78946
613,-121.22488,38.62587
614,-121.92159,37.49899
615,-121.48312,38.53323
618,-118.25152,34.10657
619,-119.79078,36.72684
620,-117.16277,32.71742
623,-121.86648,37.31525
624,-122.28444,37.81392
625,-122.29987,37.87947
626,-117.16277,32.71742
631,-121.4944,38.58157
632,-121.56958,37.00884
633,-121.95032,37.36254
634,-118.30834,34.18042
635,-117.15392,32.77401
636,-121.88412,37.35673
638,-118.59328,34.24643
639,-119.01946,35.37387
641,-117.11398,32.91678
642,-117.39616,33.95335
643,-121.76698,37.69252
644,-121.39852,36.85186
645,-116.96442,32.83107
648,-123.94308,40.02376
649,-117.91173,33.83475
650,-117.15627,32.71025
653,-118.59302,34.24767
654,-117.14191,34.08317
655,-121.88899,37.29178
657,-123.12527,39.33624
658,-122.3901,37.7515
659,-122.54498,37.90604
660,-117.02344,32.77191
663,-122.72413,38.40177
665,-118.32586,34.18165
667,-121.86653,37.31531
668,-117.37011,33.98136
669,-121.29078,37.9577
670,-118.18071,34.11415
671,-118.23399,34.06594
672,-122.41182,37.22975
673,-117.12609,32.74849
674,-117.16277,32.71742
675,-122.27218,37.84877
676,-119.87384,34.42876
679,-117.13111,32.75503
680,-122.32887,38.30413
682,-118.00197,34.13416
684,-121.48121,38.55962
685,-118.36773,33.85773
687,-118.47753,33.99632
688,-119.54961,36.68923
690,-115.37634,32.80933
691,-122.04902,36.9596
693,-124.16367,40.80207
695,-120.67493,38.73824
697,-121.2722,38.1328
698,-116.7113,33.74362
699,-121.93775,37.70596
700,-122.27119,37.79643
701,-117.22043,33.16942
702,-122.53501,38.06828
708,-119.02034,34.21647
709,-117.12235,32.89873
711,-122.58625,37.9867
712,-118.23736,34.03612
714,-119.52101,34.3959
715,-120.68017,38.75369
717,-121.54112,38.57199
718,-121.9884,37.54421
719,-116.87742,32.70992
720,-117.58938,33.66262
721,-122.57905,38.57875
722,-121.95778,37.50437
723,-117.87706,33.80567
724,-116.60398,33.07917
725,-122.26169,38.16581
726,-119.0772,37.77835
727,-122.26768,37.86979
728,-117.15845,33.52587
729,-117.23143,32.83258
730,-117.20271,32.89635
731,-117.11325,33.0213
733,-117.31424,33.12445
735,-117.16728,32.7173
736,-118.25615,34.04798
737,-117.27421,32.84679
738,-118.35293,34.13221
740,-119.33498,36.19308
741,-122.83829,38.97783
744,-117.2088,32.82764
745,-118.14332,34.69784
746,-121.45603,38.60772
747,-118.36007,33.86562
748,-117.61107,34.10642
749,-119.70292,36.82523
751,-117.12743,32.71166
752,-122.4099,37.77864
753,-117.31585,33.11493
754,-118.0337,33.97489
757,-118.77991,34.14512
758,-118.76615,34.14404
759,-117.61082,33.63604
760,-117.78354,33.54279
761,-122.66192,38.27265
762,-120.002,38.91476
763,-120.63267,40.40559
767,-117.22485,33.1361
769,-118.24277,34.05368
770,-119.29087,34.27836
771,-117.59223,33.45873
772,-117.76407,33.66815
773,-117.35017,33.21547
