id,name,brewery_type
1,5 Rivers Brewing LLC,planning
2,Avondale Brewing Co,micro
3,Back Forty Beer Co,micro
4,Band of Brothers Brewing Company,micro
5,Below the Radar Brewing Co,brewpub
6,Big Beach Brewing Company,micro
7,Birmingham District Brewing,planning
8,Black Warrior Brewing Co.,micro
9,Blue Pants Brewery,micro
10,Bluewater Brewing Co,micro
11,Brewery in Planning - Mobile,planning
12,Brewpub In Planning - Birmingham,planning
13,Cahaba Brewing Co,micro
14,Chandler's Ford Brewing LLC,planning
15,Chattahoochee Brewing Co,micro
16,Cheaha Brewing Co,brewpub
17,"Common Bond Brewers, LLC",micro
18,Cross-Eyed Owl Brewing Co.,micro
19,Druid City Brewing,micro
20,Fairhope Brewing Co,micro
21,Ferus Artisan Ales,planning
22,Folklore Brewing,micro
23,Ghost Train Brewing Co,micro
24,Goat Island Brewing,micro
25,Good People Brewing Co,micro
26,Green Bus Brewing,brewpub
27,Haint Blue Brewing Company,contract
28,InnerSpace Brewing Company,micro
29,Mad Malts Brewery & Tap Room,micro
30,Main Channel Brewing Company,micro
31,Old Black Bear Brewing,micro
32,Old Majestic Brewing Company,planning
33,Red Clay Brewing Company,micro
34,Red Hills Brewing Co,micro
35,Rocket Republic Brewing Company,micro
36,Salty Nut Brewery,micro
37,Sand Mtn brewery,planning
38,Serda Brewing Company,micro
39,Siluria Brewing Company,planning
40,"Singin' River Brewing Company, LLC",micro
41,Straight to Ale,micro
42,Tallulah Brewing Company,micro
43,The Railyard Brewing Co,brewpub
44,Trim Tab Brewing,micro
45,Twisted Barley Brewing Company,micro
46,Yellowhammer Brewery,micro
47,49th State Brewing Co,brewpub
48,49th State Brewing Co - Anchorage,brewpub
49,Alaskan Brewing Co.,regional
50,Anchorage Brewing Co,micro
51,Arkose Brewery,micro
52,Baleen Brewing Co.,planning
53,Baranof Island Brewing Co,micro
54,Barnaby Brewing Company,micro
55,Bearpaw River Brewing Co,micro
56,Bleeding Heart Brewery,micro
57,Broken Tooth Brewing Co,brewpub
58,"Cooper Landing Brewing Company, LLC.",micro
59,Cynosure Brewing,micro
60,Denali Brewing Company,micro
61,Devil's Club Brewing,brewpub
62,Faults Brewing,planning
63,Gakona Brewing Company,micro
64,Girdwood Brewing Company,micro
65,Glacier Brewhouse,brewpub
66,"Grace Ridge Brewing, Inc.",micro
67,Growler Bay Brewing Co,planning
68,Haines Brewing Co,micro
69,Homer Brewing Co,micro
70,HooDoo Brewing Co,micro
71,Humpy's Great Alaskan Alehouse,contract
72,Icy Strait Brewery,micro
73,"Inside Passage Brewing Company, LLC",planning
74,Kassik's Brewery,micro
75,Kenai River Brewing Co,brewpub
76,King Street Brewing Co,micro
77,Klondike Brewing Company,brewpub
78,"Kodiak Island Brewing Co, LLC",micro
79,Last Frontier Brewing Company,brewpub
80,Midnight Sun Brewing Co,micro
81,Midnite Mine Brewpub,planning
82,Odd Man Rush,micro
83,"QUAKE! Brewing Company, LLC",micro
84,Resolution Brewing Company,brewpub
85,"Resolution Brewing Compnay, LLC",micro
86,RoughWoods Inn,brewpub
87,Seward Brewing,brewpub
88,Silver Gulch Brewing Co,micro
89,Skagway Brewing Co,brewpub
90,St Elias Brewing Co,micro
91,Turnagain Brewing,planning
92,12 West Brewing Company,micro
93,12 West Brewing Company - Production Facility,micro
94,1912 Brewing,micro
95,8-Bit Aleworks,micro
96,Arizona Craft Brewing,micro
97,Arizona Wilderness Brewing,brewpub
98,Bad Water Brewing,contract
99,Barley Brothers Brewery,brewpub
100,Barnstar Brewing,micro
101,Barrio Brewing Co,micro
102,Beaver Street Brewery,brewpub
103,"Beer Research Institute, The",brewpub
104,BJs Restaurant & Brewery - Chandler,brewpub
105,Black Bridge Brewery,micro
106,Black Horse Brewery,micro
107,BlackRock Brewers,micro
108,Blasted Barley Beer Company,brewpub
109,Borderlands Brewing Co,micro
110,Brewery in Planning - Sierra Vista,planning
111,"Brewery in Planning - Yuma, AZ",planning
112,"Button Brew House, LLC",micro
113,Catalina Brewing Company,micro
114,College Street Brewhouse and Pub,micro
115,Copper Brothel Brewery,micro
116,Copper Hop Brewing Co/Copper Hop Ranch,micro
117,Copper Mine Brewing Co,micro
118,Coppertop Alehouse and Still Works,brewpub
119,Corbett Brewing Company,micro
120,CRAFT 64,contract
