id,name,phone,website_url
1,5 Rivers Brewing LLC,2516897483,http://5riversbrewing.com
2,Avondale Brewing Co,2057775456,http://www.avondalebrewing.com
3,Back Forty Beer Co,2564674912,http://www.backfortybeer.com
5,Below the Radar Brewing Co,2564696617,http://www.btrbrew.com
6,Big Beach Brewing Company,2519482337,http://www.bigbeachbrewing.com
7,Birmingham District Brewing,6019380486,
8,Black Warrior Brewing Co.,,http://www.blackwarriorbrewing.com
9,Blue Pants Brewery,2566796330,http://www.bluepantsbrew.com
10,Bluewater Brewing Co,2562751221,http://www.facebook.com/pg/BluewaterBrewingCompanyInc
11,Brewery in Planning - Mobile,,
12,Brewpub In Planning - Birmingham,2565854531,
13,Cahaba Brewing Co,2059669444,http://www.cahababrewing.com
14,Chandler's Ford Brewing LLC,2564576999,http://chandlersfordbrewing.com
15,Chattahoochee Brewing Co,3345590663,http://www.beerontheriver.com
16,Cheaha Brewing Co,2567707300,http://www.cheahabrewingcompany.com
17,"Common Bond Brewers, LLC",3346762292,http://www.commonbondbrewers.com
18,Cross-Eyed Owl Brewing Co.,2564310931,http://www.xeobrewing.com
19,Druid City Brewing,2058868140,http://www.druidcitybrewing.com
20,Fairhope Brewing Co,2512797517,
21,Ferus Artisan Ales,2053680240,
22,Folklore Brewing,3347022337,http://www.folklorebrewing.com
23,Ghost Train Brewing Co,2053702487,http://www.ghosttrainbrewing.com
24,Goat Island Brewing,2565909081,http://www.goatislandbrewing.com
25,Good People Brewing Co,6154984165,http://www.goodpeoplebrewing.com
26,Green Bus Brewing,2569902477,http://www.greenbusbrewing.com
27,Haint Blue Brewing Company,,http://haintbluebrew.com
28,InnerSpace Brewing Company,2564895599,http://www.innerspacebrewing.com
29,Mad Malts Brewery & Tap Room,2564243543,http://www.madmaltsbrewing.com
30,Main Channel Brewing Company,2569605070,http://www.mainchannelbeer.com
31,Old Black Bear Brewing,2568504639,
32,Old Majestic Brewing Company,2514347387,
33,Red Clay Brewing Company,3347375409,http://www.redclaybrewingcompany.com
34,Red Hills Brewing Co,2055822897,http://www.redhillsbrew.com
35,Rocket Republic Brewing Company,2563254677,http://www.rocketrepublicbrewing.com
36,Salty Nut Brewery,2567138877,http://www.saltynutbrewery.com
37,Sand Mtn brewery,2564180658,http://Www.sandmtnbrewery.com
38,Serda Brewing Company,2519299349,http://www.serdabrewing.com
39,Siluria Brewing Company,2054827661,http://www.siluriabrewing.com
40,"Singin' River Brewing Company, LLC",2567600000,http://www.singinriverbrewing.com
41,Straight to Ale,2566039096,http://www.straighttoale.com
42,Tallulah Brewing Company,2055308555,
43,The Railyard Brewing Co,3342620080,http://www.railyardbrewingcompany.com
44,Trim Tab Brewing,2057030536,http://www.trimtabbrewing.com
45,Twisted Barley Brewing Company,2052653253,
46,Yellowhammer Brewery,2569755950,http://www.yellowhammerbrewery.com
47,49th State Brewing Co,,
48,49th State Brewing Co - Anchorage,9076832739,http://www.49statebrewing.com/
49,Alaskan Brewing Co.,9077805866,http://www.alaskanbeer.com
50,Anchorage Brewing Co,9073605104,http://www.anchoragebrewingcompany.com
51,Arkose Brewery,9077462337,http://www.arkosebrewery.com
52,Baleen Brewing Co.,9072207492,
53,Baranof Island Brewing Co,9077472739,http://www.baranofislandbrewing.com
54,Barnaby Brewing Company,9074190916,http://www.barnabybrew.com
55,Bearpaw River Brewing Co,,http://bearpawriverbrewing.com
56,Bleeding Heart Brewery,7609172417,http://Facebook.com/BleedingHeartBrewery
57,Broken Tooth Brewing Co,9072784999,
58,"Cooper Landing Brewing Company, LLC.",9072236101,http://www.cooperlandingbrewing.com
59,Cynosure Brewing,9075632966,
60,Denali Brewing Company,9077332536,http://www.denalibrewing.com
61,Devil's Club Brewing,9077232337,http://www.devilsclubbrewing.com
62,Faults Brewing,9073019922,
63,Gakona Brewing Company,,
64,Girdwood Brewing Company,907783,http://www.girdwoodbrewing.com
65,Glacier Brewhouse,9072742739,http://www.glacierbrewhouse.com
66,"Grace Ridge Brewing, Inc.",,
67,Growler Bay Brewing Co,9072555191,
68,Haines Brewing Co,9077663823,http://www.hainesbrewing.com
69,Homer Brewing Co,,
70,HooDoo Brewing Co,9074592337,http://www.hoodoobrew.com
71,Humpy's Great Alaskan Alehouse,9072762337,http://www.humpysalaska.com
72,Icy Strait Brewery,9079576260,
73,"Inside Passage Brewing Company, LLC",5133240762,
74,Kassik's Brewery,,
75,Kenai River Brewing Co,9072622337,http://www.kenairiverbrewing.com
76,King Street Brewing Co,9073365464,http://www.kingstreetbrewing.com
77,Klondike Brewing Company,9079832778,http://www.klondikebeer.com
78,"Kodiak Island Brewing Co, LLC",9074862537,http://www.kodiakbrewery.com
79,Last Frontier Brewing Company,9073577200,
80,Midnight Sun Brewing Co,9073441179,http://www.midnightsunbrewing.com
81,Midnite Mine Brewpub,9073784067,
82,Odd Man Rush,9076962337,http://www.oddmanrushbrewing.com
